Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
"Jan-2018","AMNCH","1049","Dermatology","General Referral",62
"Jan-2018","AMNCH","1049","Endocrinology","General Referral",20
"Jan-2018","AMNCH","1049","Gastro-Enterology","General Referral",94
"Jan-2018","AMNCH","1049","General Surgery","General Referral",71
"Jan-2018","AMNCH","1049","Geriatric Medicine","General Referral",6
"Jan-2018","AMNCH","1049","Gynaecology","General Referral",37
"Jan-2018","AMNCH","1049","Haematology","General Referral",20
"Jan-2018","AMNCH","1049","Nephrology","General Referral",11
"Jan-2018","AMNCH","1049","Neurology","General Referral",25
"Jan-2018","AMNCH","1049","Oncology","General Referral",1
"Jan-2018","AMNCH","1049","Ophthalmology","General Referral",3
"Jan-2018","AMNCH","1049","Orthopaedics","General Referral",86
"Jan-2018","AMNCH","1049","Otolaryngology (ENT)","General Referral",74
"Jan-2018","AMNCH","1049","Paediatric Cardiology","General Referral",7
"Jan-2018","AMNCH","1049","Paediatric Dermatology","General Referral",13
"Jan-2018","AMNCH","1049","Paediatric Endocrinology","General Referral",4
"Jan-2018","AMNCH","1049","Paediatric ENT","General Referral",32
"Jan-2018","AMNCH","1049","Paediatric Gastro-enterology","General Referral",15
"Jan-2018","AMNCH","1049","Paediatric Neurology","General Referral",5
"Jan-2018","AMNCH","1049","Paediatric Respiratory Medicine","General Referral",8
"Jan-2018","AMNCH","1049","Paediatric Surgery","General Referral",18
"Jan-2018","AMNCH","1049","Paediatrics","General Referral",29
"Jan-2018","AMNCH","1049","Paediatrics Development","General Referral",9
"Jan-2018","AMNCH","1049","Pain Relief","General Referral",8
"Jan-2018","AMNCH","1049","Pigmented Lesion","Pigmented Lesion Referral",6
"Jan-2018","AMNCH","1049","Psychiatry","General Referral",3
"Jan-2018","AMNCH","1049","Respiratory Medicine","General Referral",28
"Jan-2018","AMNCH","1049","Rheumatology","General Referral",25
"Jan-2018","AMNCH","1049","Urology","General Referral",72
"Jan-2018","AMNCH","1049","Vascular Surgery","General Referral",30
"Jan-2018","Bantry General Hospital","704","Gastro-Enterology","General Referral",19
"Jan-2018","Bantry General Hospital","704","General Medicine","General Referral",35
"Jan-2018","Bantry General Hospital","704","General Surgery","General Referral",48
"Jan-2018","Bantry General Hospital","704","Geriatric Medicine","General Referral",3
"Jan-2018","Bantry General Hospital","704","Outreach Dermatology","General Referral",13
"Jan-2018","Bantry General Hospital","704","Outreach Orthopaedics","General Referral",5
"Jan-2018","Bantry General Hospital","704","Outreach Surgical","General Referral",14
"Jan-2018","Barringtons MRI Centre","9115","DXA","General Referral",9
"Jan-2018","Barringtons MRI Centre","9115","MRI","General Referral",104
"Jan-2018","Beaumont Hospital","923","Beaumont Breast Clinic","Breast Clinic Referral",277
"Jan-2018","Beaumont Hospital","923","Beaumont Lung Clinic","Lung Cancer Referral",8
"Jan-2018","Beaumont Hospital","923","Beaumont Prostate Clinic","Prostate Cancer Referral",11
"Jan-2018","Beaumont Hospital","923","Cardiology","General Referral",59
"Jan-2018","Beaumont Hospital","923","Clinical Immunology","General Referral",12
"Jan-2018","Beaumont Hospital","923","Dermatology","General Referral",92
"Jan-2018","Beaumont Hospital","923","Endocrinology","General Referral",36
"Jan-2018","Beaumont Hospital","923","Endoscopy Beaumont Hospital","Endoscopy Referral",20
"Jan-2018","Beaumont Hospital","923","Gastro-Enterology","General Referral",80
"Jan-2018","Beaumont Hospital","923","General Surgery","General Referral",83
"Jan-2018","Beaumont Hospital","923","Geriatric Medicine","General Referral",27
"Jan-2018","Beaumont Hospital","923","Gynaecology","General Referral",26
"Jan-2018","Beaumont Hospital","923","Haematology","General Referral",14
"Jan-2018","Beaumont Hospital","923","Infectious Diseases","General Referral",1
"Jan-2018","Beaumont Hospital","923","Nephrology","General Referral",12
"Jan-2018","Beaumont Hospital","923","Neurology","General Referral",56
"Jan-2018","Beaumont Hospital","923","Neurosurgery","General Referral",48
"Jan-2018","Beaumont Hospital","923","Oncology","General Referral",3
"Jan-2018","Beaumont Hospital","923","Ophthalmology","General Referral",13
"Jan-2018","Beaumont Hospital","923","Orthopaedics","General Referral",66
"Jan-2018","Beaumont Hospital","923","Otolaryngology (ENT)","General Referral",118
"Jan-2018","Beaumont Hospital","923","Pain Relief","General Referral",17
"Jan-2018","Beaumont Hospital","923","Plastic Surgery","General Referral",63
"Jan-2018","Beaumont Hospital","923","Respiratory Medicine","General Referral",33
"Jan-2018","Beaumont Hospital","923","Rheumatology","General Referral",38
"Jan-2018","Beaumont Hospital","923","Urology","General Referral",68
"Jan-2018","Beaumont Hospital","923","Vascular Surgery","General Referral",34
"Jan-2018","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",86
"Jan-2018","Cappagh National Orthopaedic Hospital","955","Rheumatology","General Referral",4
"Jan-2018","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",33
"Jan-2018","Cavan Monaghan Hospital","402","Dermatology","General Referral",19
"Jan-2018","Cavan Monaghan Hospital","402","General Medicine","General Referral",84
"Jan-2018","Cavan Monaghan Hospital","402","General Surgery","General Referral",176
"Jan-2018","Cavan Monaghan Hospital","402","Gynaecology","General Referral",47
"Jan-2018","Cavan Monaghan Hospital","402","Haematology","General Referral",3
"Jan-2018","Cavan Monaghan Hospital","402","Neurology","General Referral",10
"Jan-2018","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",44
"Jan-2018","Cavan Monaghan Hospital","402","Otolaryngology (ENT)","General Referral",34
"Jan-2018","Cavan Monaghan Hospital","402","Paediatrics","General Referral",41
"Jan-2018","Charter Medical","9120","Medicine for the Elderly","General Referral",1
"Jan-2018","Connolly Hospital","108","Cardiology","General Referral",23
"Jan-2018","Connolly Hospital","108","Dermatology","General Referral",35
"Jan-2018","Connolly Hospital","108","Endocrinology","General Referral",15
"Jan-2018","Connolly Hospital","108","Gastro-Enterology","General Referral",64
"Jan-2018","Connolly Hospital","108","General Surgery","General Referral",62
"Jan-2018","Connolly Hospital","108","Geriatric Medicine","General Referral",5
"Jan-2018","Connolly Hospital","108","Gynaecology","General Referral",13
"Jan-2018","Connolly Hospital","108","Haematology","General Referral",6
"Jan-2018","Connolly Hospital","108","Nephrology","General Referral",4
"Jan-2018","Connolly Hospital","108","Ophthalmology","General Referral",7
"Jan-2018","Connolly Hospital","108","Orthopaedics","General Referral",77
"Jan-2018","Connolly Hospital","108","Otolaryngology (ENT)","General Referral",21
"Jan-2018","Connolly Hospital","108","Plastic Surgery","General Referral",19
"Jan-2018","Connolly Hospital","108","Respiratory Medicine","General Referral",29
"Jan-2018","Connolly Hospital","108","Rheumatology","General Referral",19
"Jan-2018","Connolly Hospital","108","Urology","General Referral",41
"Jan-2018","Coombe Women & Infants University Hospital","930","Gynaecology","General Referral",75
"Jan-2018","Cork University Hospital","724","Cardiology","General Referral",59
"Jan-2018","Cork University Hospital","724","Cardio-Thoracic Surgery","General Referral",1
"Jan-2018","Cork University Hospital","724","CUH Referral Centre","Breast Clinic Referral",406
"Jan-2018","Cork University Hospital","724","CUH Referral Centre","Lung Cancer Referral",22
"Jan-2018","Cork University Hospital","724","CUH Referral Centre","Prostate Cancer Referral",20
"Jan-2018","Cork University Hospital","724","Diabetes Mellitus","General Referral",5
"Jan-2018","Cork University Hospital","724","Endocrinology","General Referral",17
"Jan-2018","Cork University Hospital","724","Gastro-Enterology","General Referral",34
"Jan-2018","Cork University Hospital","724","General Surgery","General Referral",49
"Jan-2018","Cork University Hospital","724","Geriatric Medicine","General Referral",17
"Jan-2018","Cork University Hospital","724","Maxillo-Facial","General Referral",4
"Jan-2018","Cork University Hospital","724","Nephrology","General Referral",9
"Jan-2018","Cork University Hospital","724","Neurology","General Referral",51
"Jan-2018","Cork University Hospital","724","Neurosurgery","General Referral",62
"Jan-2018","Cork University Hospital","724","Ophthalmology","General Referral",76
"Jan-2018","Cork University Hospital","724","Paediatric Endocrinology","General Referral",4
"Jan-2018","Cork University Hospital","724","Paediatric Medicine","General Referral",61
"Jan-2018","Cork University Hospital","724","Paediatric Neurology","General Referral",1
"Jan-2018","Cork University Hospital","724","Paediatric Respiratory Medicine","General Referral",6
"Jan-2018","Cork University Hospital","724","Plastic Surgery","General Referral",43
"Jan-2018","Cork University Hospital","724","Respiratory Medicine","General Referral",30
"Jan-2018","Cork University Hospital","724","Rheumatology","General Referral",33
"Jan-2018","Cork University Hospital","724","Urology","General Referral",35
"Jan-2018","Cork University Hospital","724","Vascular Surgery","General Referral",18
"Jan-2018","Cork University Maternity Hospital","725","Gynaecology","General Referral",121
"Jan-2018","County Clinic Longford","9103","General Surgery","General Referral",26
"Jan-2018","County Clinic Longford","9103","Gynaecology","General Referral",3
"Jan-2018","County Clinic Longford","9103","Obstetrics","General Referral",7
"Jan-2018","County Clinic Longford","9103","Paediatrics","General Referral",4
"Jan-2018","Kerry General Hospital","726","Cardiology","General Referral",30
"Jan-2018","Kerry General Hospital","726","Dermatology","General Referral",35
"Jan-2018","Kerry General Hospital","726","Diabetes Mellitus","General Referral",3
"Jan-2018","Kerry General Hospital","726","Endocrinology","General Referral",13
"Jan-2018","Kerry General Hospital","726","General Medicine","General Referral",31
"Jan-2018","Kerry General Hospital","726","General Surgery","General Referral",297
"Jan-2018","Kerry General Hospital","726","Geriatric Medicine","General Referral",9
"Jan-2018","Kerry General Hospital","726","Gynaecology","General Referral",65
"Jan-2018","Kerry General Hospital","726","Neurology","General Referral",14
"Jan-2018","Kerry General Hospital","726","Orthopaedics","General Referral",127
"Jan-2018","Kerry General Hospital","726","Otolaryngology (ENT)","General Referral",53
"Jan-2018","Kerry General Hospital","726","Paediatrics","General Referral",33
"Jan-2018","Kerry General Hospital","726","Plastic Surgery","General Referral",7
"Jan-2018","Kerry General Hospital","726","Renal","General Referral",2
"Jan-2018","Kerry General Hospital","726","Rheumatology","General Referral",11
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Anaesthesia / Pain Management","General Referral",5
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Cardiology","General Referral",11
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Dermatology","General Referral",30
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Endocrinology","General Referral",3
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Endoscopy","General Referral",4
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","ENT","General Referral",24
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Gastroenterology","General Referral",15
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","General Surgery","General Referral",36
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Geriatrician","General Referral",3
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Gynaecology","General Referral",2
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Neurosurgery","General Referral",1
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Ophthalmology","General Referral",3
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Orthopaedics","General Referral",10
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Paediatrician","General Referral",4
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Plastic Surgery","General Referral",5
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Radiology","General Referral",4
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Ultrasound","General Referral",10
"Jan-2018","Kingsbridge Private Hospital Sligo","9102","Urology","General Referral",15
"Jan-2018","Letterkenny University Hospital","500","Antenatal","General Referral",58
"Jan-2018","Letterkenny University Hospital","500","Cardiology","General Referral",24
"Jan-2018","Letterkenny University Hospital","500","Colorectal","General Referral",15
"Jan-2018","Letterkenny University Hospital","500","Colposcopy","General Referral",6
"Jan-2018","Letterkenny University Hospital","500","Day Services","General Referral",44
"Jan-2018","Letterkenny University Hospital","500","Dermatology","General Referral",38
"Jan-2018","Letterkenny University Hospital","500","Endocrinology","General Referral",7
"Jan-2018","Letterkenny University Hospital","500","Gastro-Enterology","General Referral",17
"Jan-2018","Letterkenny University Hospital","500","General Medicine","General Referral",23
"Jan-2018","Letterkenny University Hospital","500","General Surgery","General Referral",44
"Jan-2018","Letterkenny University Hospital","500","Gynaecology","General Referral",33
"Jan-2018","Letterkenny University Hospital","500","Haematology","General Referral",8
"Jan-2018","Letterkenny University Hospital","500","Letterkenny Breast Unit","Breast Clinic Referral",97
"Jan-2018","Letterkenny University Hospital","500","Nephrology","General Referral",5
"Jan-2018","Letterkenny University Hospital","500","Neurology","General Referral",4
"Jan-2018","Letterkenny University Hospital","500","Ophthalmology","General Referral",18
"Jan-2018","Letterkenny University Hospital","500","Oral Surgery","General Referral",7
"Jan-2018","Letterkenny University Hospital","500","Orthopaedics","General Referral",47
"Jan-2018","Letterkenny University Hospital","500","Otolaryngology (ENT)","General Referral",63
"Jan-2018","Letterkenny University Hospital","500","Paediatrics","General Referral",29
"Jan-2018","Letterkenny University Hospital","500","Respiratory Medicine","General Referral",11
"Jan-2018","Letterkenny University Hospital","500","Rheumatology","General Referral",4
"Jan-2018","Letterkenny University Hospital","500","Urodynamics","General Referral",2
"Jan-2018","Letterkenny University Hospital","500","Urology","General Referral",13
"Jan-2018","Letterkenny University Hospital","500","X-Ray","General Referral",1
"Jan-2018","Louth County Hospital","400","Endocrinology","General Referral",9
"Jan-2018","Louth County Hospital","400","General Medicine","General Referral",13
"Jan-2018","Louth County Hospital","400","General Surgery","General Referral",45
"Jan-2018","Louth County Hospital","400","Gynaecology","General Referral",29
"Jan-2018","Louth County Hospital","400","Minor Operations","General Referral",21
"Jan-2018","Louth County Hospital","400","Orthopaedics","General Referral",54
"Jan-2018","Louth County Hospital","400","Paediatrics","General Referral",8
"Jan-2018","Louth County Hospital","400","Urology","General Referral",10
"Jan-2018","Mallow General Hospital","703","General Medicine","General Referral",59
"Jan-2018","Mallow General Hospital","703","General Surgery","General Referral",107
"Jan-2018","Mallow General Hospital","703","Otolaryngology (ENT)","General Referral",51
"Jan-2018","Mater Private Drogheda Outreach Clinic","9065","Cardiology","General Referral",2
"Jan-2018","Mater Private Drogheda Outreach Clinic","9065","ENT","General Referral",1
"Jan-2018","Mater Private Hospital Cork","9062","Cardiology","General Referral",13
"Jan-2018","Mater Private Hospital Cork","9062","Dermatology","General Referral",1
"Jan-2018","Mater Private Hospital Cork","9062","Emergency Department","General Referral",3
"Jan-2018","Mater Private Hospital Cork","9062","Endocrinology","General Referral",1
"Jan-2018","Mater Private Hospital Cork","9062","Gastroenterology","General Referral",14
"Jan-2018","Mater Private Hospital Cork","9062","General Surgery","General Referral",9
"Jan-2018","Mater Private Hospital Cork","9062","Gynaecology","General Referral",5
"Jan-2018","Mater Private Hospital Cork","9062","Ophthalmic Surgery","General Referral",5
"Jan-2018","Mater Private Hospital Cork","9062","Orthopaedic Surgery","General Referral",12
"Jan-2018","Mater Private Hospital Cork","9062","Pain Medicine","General Referral",2
"Jan-2018","Mater Private Hospital Cork","9062","Plastic Surgery","General Referral",6
"Jan-2018","Mater Private Hospital Cork","9062","Rheumatology","General Referral",5
"Jan-2018","Mater Private Hospital Cork","9062","Spinal Surgery","General Referral",3
"Jan-2018","Mater Private Hospital Cork","9062","Urology","General Referral",10
"Jan-2018","Mater Private Hospital Cork","9062","Vascular Surgery","General Referral",1
"Jan-2018","Mater Private Hospital Dublin","9060","Breast Imaging/TAC","Breast Clinic Referral",45
"Jan-2018","Mater Private Hospital Dublin","9060","Breast Imaging/TAC","General Referral",1
"Jan-2018","Mater Private Hospital Dublin","9060","Cardiology – Arrhythmia service","General Referral",4
"Jan-2018","Mater Private Hospital Dublin","9060","Cardiology - Consultant clinics","General Referral",26
"Jan-2018","Mater Private Hospital Dublin","9060","Emergency Department","General Referral",1
"Jan-2018","Mater Private Hospital Dublin","9060","Orthopaedic & Spine","General Referral",7
"Jan-2018","Mater Private Hospital Dublin","9060","Prostate (Direct Access)","Prostate Cancer Referral",2
"Jan-2018","Mater Private Hospital Dublin","9060","Radiology","General Referral",14
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Breast Surgery","General Referral",1
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – ENT","General Referral",13
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Gastroenterology","General Referral",18
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – General/Colorect","General Referral",2
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Gynaecology","General Referral",3
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Haematology","General Referral",1
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Orthopaedic","General Referral",2
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Respiratory","General Referral",3
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Spine","General Referral",2
"Jan-2018","Mater Private Hospital Dublin","9060","Same Day Appt – Urology","General Referral",10
"Jan-2018","Mater Private Hospital Dublin","9060","Vascular","General Referral",2
"Jan-2018","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",1
"Jan-2018","Mater Public Hospital","908","Cardiology - Rapid Chest Pain","General Referral",28
"Jan-2018","Mater Public Hospital","908","Colorectal Surgery","General Referral",17
"Jan-2018","Mater Public Hospital","908","Dermatology","General Referral",81
"Jan-2018","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",18
"Jan-2018","Mater Public Hospital","908","ENT Surgery","General Referral",46
"Jan-2018","Mater Public Hospital","908","Gastroenterology","General Referral",89
"Jan-2018","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",31
"Jan-2018","Mater Public Hospital","908","Gen/Vas Surgery","General Referral",30
"Jan-2018","Mater Public Hospital","908","General Surgery","General Referral",41
"Jan-2018","Mater Public Hospital","908","Geriatrics","General Referral",14
"Jan-2018","Mater Public Hospital","908","Gynaecology","General Referral",7
"Jan-2018","Mater Public Hospital","908","Haematology","General Referral",8
"Jan-2018","Mater Public Hospital","908","Hepatology","General Referral",8
"Jan-2018","Mater Public Hospital","908","Infectious Diseases","General Referral",4
"Jan-2018","Mater Public Hospital","908","Mater Lung Clinic","Lung Cancer Referral",26
"Jan-2018","Mater Public Hospital","908","Mater Prostate Clinic","Prostate Cancer Referral",24
"Jan-2018","Mater Public Hospital","908","Mater Public Breast Unit","Breast Clinic Referral",389
"Jan-2018","Mater Public Hospital","908","Nephrology","General Referral",10
"Jan-2018","Mater Public Hospital","908","Neurology","General Referral",32
"Jan-2018","Mater Public Hospital","908","Ophthalmology","General Referral",54
"Jan-2018","Mater Public Hospital","908","Orthopaedic","General Referral",67
"Jan-2018","Mater Public Hospital","908","Pain Medicine","General Referral",13
"Jan-2018","Mater Public Hospital","908","Plastic Surgery","General Referral",30
"Jan-2018","Mater Public Hospital","908","Psychiatry","General Referral",6
"Jan-2018","Mater Public Hospital","908","Respiratory Med","General Referral",31
"Jan-2018","Mater Public Hospital","908","Rheumatology","General Referral",17
"Jan-2018","Mater Public Hospital","908","Urology","General Referral",48
"Jan-2018","Mayo University Hospital","802","Dermatology","General Referral",9
"Jan-2018","Mayo University Hospital","802","Diabetes Mellitus","General Referral",1
"Jan-2018","Mayo University Hospital","802","General Medicine","General Referral",66
"Jan-2018","Mayo University Hospital","802","General Surgery","General Referral",94
"Jan-2018","Mayo University Hospital","802","Gynaecology","General Referral",52
"Jan-2018","Mayo University Hospital","802","Obstetrics","General Referral",39
"Jan-2018","Mayo University Hospital","802","Orthopaedics","General Referral",97
"Jan-2018","Mayo University Hospital","802","Otolaryngology (ENT)","General Referral",30
"Jan-2018","Mayo University Hospital","802","Paediatrics","General Referral",53
"Jan-2018","Mayo University Hospital","802","Urology","General Referral",7
"Jan-2018","Mercy University Hospital","913","Cardiology","General Referral",26
"Jan-2018","Mercy University Hospital","913","Gastro-Enterology","General Referral",56
"Jan-2018","Mercy University Hospital","913","Gastro-Intestinal Surgery","General Referral",10
"Jan-2018","Mercy University Hospital","913","General Medicine","General Referral",5
"Jan-2018","Mercy University Hospital","913","General Surgery","General Referral",35
"Jan-2018","Mercy University Hospital","913","Geriatric Medicine","General Referral",10
"Jan-2018","Mercy University Hospital","913","Haematology","General Referral",10
"Jan-2018","Mercy University Hospital","913","Hepato-Biliary Surgery","General Referral",4
"Jan-2018","Mercy University Hospital","913","Infectious Diseases","General Referral",1
"Jan-2018","Mercy University Hospital","913","Neurology","General Referral",12
"Jan-2018","Mercy University Hospital","913","Paediatric Neurology","General Referral",4
"Jan-2018","Mercy University Hospital","913","Paediatrics","General Referral",29
"Jan-2018","Mercy University Hospital","913","Pain Relief","General Referral",8
"Jan-2018","Mercy University Hospital","913","Radiology","General Referral",475
"Jan-2018","Mercy University Hospital","913","Respiratory Medicine","General Referral",38
"Jan-2018","Mercy University Hospital","913","Urology","General Referral",76
"Jan-2018","Mercy University Hospital","913","Vascular Surgery","General Referral",35
"Jan-2018","Merlin Park University Hospital","801","Radiology","General Referral",39
"Jan-2018","Merrion Fertility Clinic","9117","Gynaecology","General Referral",1
"Jan-2018","Merrion Fertility Clinic","9117","Reproductive Medicine","General Referral",1
"Jan-2018","Midland Regional Hospital Portlaoise","201","Cardiology","General Referral",8
"Jan-2018","Midland Regional Hospital Portlaoise","201","Endocrinology","General Referral",7
"Jan-2018","Midland Regional Hospital Portlaoise","201","General Medicine","General Referral",7
"Jan-2018","Midland Regional Hospital Portlaoise","201","General Surgery","General Referral",43
"Jan-2018","Midland Regional Hospital Portlaoise","201","Gynaecology","General Referral",26
"Jan-2018","Midland Regional Hospital Portlaoise","201","Haematology","General Referral",3
"Jan-2018","Midland Regional Hospital Portlaoise","201","Obstetrics","General Referral",17
"Jan-2018","Midland Regional Hospital Portlaoise","201","Ophthalmology","General Referral",5
"Jan-2018","Midland Regional Hospital Portlaoise","201","Paediatrics","General Referral",23
"Jan-2018","Midland Regional Hospital Portlaoise","201","Urology","General Referral",8
"Jan-2018","Mullingar Midland Regional Hospital","202","Cardiology","General Referral",53
"Jan-2018","Mullingar Midland Regional Hospital","202","Dermatology","General Referral",23
"Jan-2018","Mullingar Midland Regional Hospital","202","Diabetes Mellitus","General Referral",5
"Jan-2018","Mullingar Midland Regional Hospital","202","Endocrinology","General Referral",13
"Jan-2018","Mullingar Midland Regional Hospital","202","General Medicine","General Referral",47
"Jan-2018","Mullingar Midland Regional Hospital","202","General Surgery","General Referral",142
"Jan-2018","Mullingar Midland Regional Hospital","202","Geriatric Medicine","General Referral",9
"Jan-2018","Mullingar Midland Regional Hospital","202","Gynaecology","General Referral",72
"Jan-2018","Mullingar Midland Regional Hospital","202","Haematology","General Referral",7
"Jan-2018","Mullingar Midland Regional Hospital","202","Obstetrics","General Referral",57
"Jan-2018","Mullingar Midland Regional Hospital","202","Ophthalmology","General Referral",12
"Jan-2018","Mullingar Midland Regional Hospital","202","Orthopaedics","General Referral",3
"Jan-2018","Mullingar Midland Regional Hospital","202","Paediatrics","General Referral",48
"Jan-2018","Mullingar Midland Regional Hospital","202","Pigmented Lesion","Pigmented Lesion Referral",1
"Jan-2018","Mullingar Midland Regional Hospital","202","Respiratory Medicine","General Referral",36
"Jan-2018","Naas General Hospital","102","Cardiology","General Referral",21
"Jan-2018","Naas General Hospital","102","Dermatology","General Referral",22
"Jan-2018","Naas General Hospital","102","Endocrinology","General Referral",17
"Jan-2018","Naas General Hospital","102","Gastro-Enterology","General Referral",41
"Jan-2018","Naas General Hospital","102","General Medicine","General Referral",2
"Jan-2018","Naas General Hospital","102","General Surgery","General Referral",60
"Jan-2018","Naas General Hospital","102","Geriatric Medicine","General Referral",3
"Jan-2018","Naas General Hospital","102","Haematology","General Referral",3
"Jan-2018","Naas General Hospital","102","Orthopaedics","General Referral",33
"Jan-2018","Naas General Hospital","102","Respiratory Medicine","General Referral",11
"Jan-2018","Naas General Hospital","102","Rheumatology","General Referral",6
"Jan-2018","National Maternity Hospital Holles Street","931","Gynaecology","General Referral",52
"Jan-2018","National Maternity Hospital Holles Street","931","Obstetrics","General Referral",25
"Jan-2018","Our Lady of Lourdes Hospital","922","Cardiology","General Referral",61
"Jan-2018","Our Lady of Lourdes Hospital","922","Dermatology","General Referral",117
"Jan-2018","Our Lady of Lourdes Hospital","922","Endocrinology","General Referral",11
"Jan-2018","Our Lady of Lourdes Hospital","922","Gastro-Enterology","General Referral",26
"Jan-2018","Our Lady of Lourdes Hospital","922","General Surgery","General Referral",41
"Jan-2018","Our Lady of Lourdes Hospital","922","Geriatric Medicine","General Referral",14
"Jan-2018","Our Lady of Lourdes Hospital","922","Gynaecology","General Referral",63
"Jan-2018","Our Lady of Lourdes Hospital","922","Haematology","General Referral",23
"Jan-2018","Our Lady of Lourdes Hospital","922","Minor Ops","General Referral",15
"Jan-2018","Our Lady of Lourdes Hospital","922","Nephrology","General Referral",4
"Jan-2018","Our Lady of Lourdes Hospital","922","Ophthalmology","General Referral",31
"Jan-2018","Our Lady of Lourdes Hospital","922","Otolaryngology (ENT)","General Referral",67
"Jan-2018","Our Lady of Lourdes Hospital","922","Paediatric Orthopaedic Surgery","General Referral",13
"Jan-2018","Our Lady of Lourdes Hospital","922","Paediatric Surgery","General Referral",21
"Jan-2018","Our Lady of Lourdes Hospital","922","Paediatrics","General Referral",58
"Jan-2018","Our Lady of Lourdes Hospital","922","Pigmented Lesion","Pigmented Lesion Referral",25
