Month_Year,Hospital_Name,Hospital_ID,Hospital_Department,ReferralType,TotalReferrals
"Jan-2017","Our Lady of Lourdes Hospital","922","Paediatrics","General Referral",1
"Jan-2017","Our Lady's Children's Hospital Crumlin","941","General Medical","General Referral",24
"Jan-2017","Sligo University Hospital","501","Medical","General Referral",32
"Jan-2017","Sligo University Hospital","501","Paediatrics","General Referral",2
"Jan-2017","South Tipperary General Hospital","607","Cardiology","General Referral",3
"Jan-2017","South Tipperary General Hospital","607","Diabetes Mellitus","General Referral",1
"Jan-2017","South Tipperary General Hospital","607","General Medicine","General Referral",2
"Jan-2017","South Tipperary General Hospital","607","General Surgery","General Referral",15
"Jan-2017","South Tipperary General Hospital","607","Geriatric Medicine","General Referral",5
"Jan-2017","South Tipperary General Hospital","607","Gynaecology","General Referral",6
"Jan-2017","South Tipperary General Hospital","607","Obstetrics","General Referral",5
"Jan-2017","South Tipperary General Hospital","607","Paediatrics","General Referral",2
"Jan-2017","St. Michael's Hospital","912","ENT","General Referral",22
"Jan-2017","St. Michael's Hospital","912","Gastroenterology","General Referral",27
"Jan-2017","St. Michael's Hospital","912","General Surgery","General Referral",19
"Jan-2017","St. Michael's Hospital","912","Gynaecology","General Referral",6
"Jan-2017","St. Michael's Hospital","912","Heart Failure Clinic","General Referral",4
"Jan-2017","St. Michael's Hospital","912","Heart Failure Virtual Clinic","General Referral",4
"Jan-2017","St. Michael's Hospital","912","Orthopaedics","General Referral",1
"Jan-2017","St. Michael's Hospital","912","Urology","General Referral",1
"Jan-2017","St. Vincent's University Hospital","910","Orthopaedic","General Referral",8
"Jan-2017","St. Vincent's University Hospital","910","Rheumatology","General Referral",4
"Jan-2017","UL Hospitals Group","9100","General Medicine","General Referral",24
"Jan-2017","UL Hospitals Group","9100","Geriatric Medicine","General Referral",10
"Jan-2017","UL Hospitals Group","9100","Gynaecology","General Referral",54
"Jan-2017","UL Hospitals Group","9100","Nephrology","General Referral",7
"Jan-2017","UL Hospitals Group","9100","Ophthalmology","General Referral",6
"Jan-2017","UL Hospitals Group","9100","Orthopaedics","General Referral",52
"Jan-2017","UL Hospitals Group","9100","Pain Management","General Referral",1
"Jan-2017","UL Hospitals Group","9100","Respiratory Medicine","General Referral",36
"Jan-2017","UL Hospitals Group","9100","Rheumatology","General Referral",1
"Jan-2017","UL Hospitals Group","9100","Urology","General Referral",1
"Feb-2017","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",11
"Feb-2017","Cappagh National Orthopaedic Hospital","955","Rheumatology","General Referral",2
"Feb-2017","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",15
"Feb-2017","Cavan Monaghan Hospital","402","Dermatology","General Referral",23
"Feb-2017","Cavan Monaghan Hospital","402","ENT","General Referral",28
"Feb-2017","Cavan Monaghan Hospital","402","Gynaecology","General Referral",33
"Feb-2017","Cavan Monaghan Hospital","402","Haematology","General Referral",5
"Feb-2017","Cavan Monaghan Hospital","402","Neurology","General Referral",10
"Feb-2017","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",27
"Feb-2017","Cavan Monaghan Hospital","402","Paediatrics","General Referral",36
"Feb-2017","Cavan Monaghan Hospital","402","Surgical","General Referral",115
"Feb-2017","Connolly Hospital","108","Cardiology","General Referral",10
"Feb-2017","Connolly Hospital","108","Endocrinology","General Referral",8
"Feb-2017","Connolly Hospital","108","Gastroenterology","General Referral",12
"Feb-2017","Connolly Hospital","108","General Surgery","General Referral",3
"Feb-2017","Connolly Hospital","108","Medicine for the Elderly","General Referral",1
"Feb-2017","Connolly Hospital","108","Orthopaedic","General Referral",11
"Feb-2017","Connolly Hospital","108","Respiratory","General Referral",6
"Feb-2017","Connolly Hospital","108","Rheumatology","General Referral",9
"Feb-2017","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",3
"Feb-2017","Mater Public Hospital","908","Colorectal Surgery","General Referral",2
"Feb-2017","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",2
"Feb-2017","Mater Public Hospital","908","ENT Surgery","General Referral",7
"Feb-2017","Mater Public Hospital","908","Gastroenterology","General Referral",2
"Feb-2017","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",2
"Feb-2017","Mater Public Hospital","908","Gen/Vas Surgery","General Referral",2
"Feb-2017","Mater Public Hospital","908","General Surgery","General Referral",3
"Feb-2017","Mater Public Hospital","908","Gynaecology","General Referral",5
"Feb-2017","Mater Public Hospital","908","Infectious Diseases","General Referral",5
"Feb-2017","Mater Public Hospital","908","Neurology","General Referral",10
"Feb-2017","Mater Public Hospital","908","Ophthalmology","General Referral",4
"Feb-2017","Mater Public Hospital","908","Orthopaedic","General Referral",22
"Feb-2017","Mater Public Hospital","908","Pain Medicine","General Referral",1
"Feb-2017","Mater Public Hospital","908","Psychiatry","General Referral",3
"Feb-2017","Mater Public Hospital","908","Respiratory Med","General Referral",1
"Feb-2017","Mater Public Hospital","908","Rheumatology","General Referral",3
"Feb-2017","Mater Public Hospital","908","Urology","General Referral",13
"Feb-2017","Our Lady of Lourdes Hospital","922","Cardiology","General Referral",3
"Feb-2017","Our Lady of Lourdes Hospital","922","General Surgery","General Referral",1
"Feb-2017","Our Lady of Lourdes Hospital","922","Gynaecology","General Referral",2
"Feb-2017","Our Lady's Children's Hospital Crumlin","941","Allergy","General Referral",4
"Feb-2017","Our Lady's Children's Hospital Crumlin","941","General Medical","General Referral",19
"Feb-2017","Sligo University Hospital","501","Diabetology","General Referral",1
"Feb-2017","Sligo University Hospital","501","Medical","General Referral",39
"Feb-2017","Sligo University Hospital","501","Paediatrics","General Referral",4
"Feb-2017","South Tipperary General Hospital","607","Diabetes Mellitus","General Referral",1
"Feb-2017","South Tipperary General Hospital","607","General Medicine","General Referral",9
"Feb-2017","South Tipperary General Hospital","607","General Surgery","General Referral",8
"Feb-2017","South Tipperary General Hospital","607","Geriatric Medicine","General Referral",3
"Feb-2017","South Tipperary General Hospital","607","Gynaecology","General Referral",9
"Feb-2017","South Tipperary General Hospital","607","Obstetrics","General Referral",3
"Feb-2017","South Tipperary General Hospital","607","Paediatrics","General Referral",2
"Feb-2017","St. Michael's Hospital","912","Cardiology","General Referral",2
"Feb-2017","St. Michael's Hospital","912","Dermatology","General Referral",5
"Feb-2017","St. Michael's Hospital","912","ENT","General Referral",15
"Feb-2017","St. Michael's Hospital","912","Gastroenterology","General Referral",29
"Feb-2017","St. Michael's Hospital","912","General Surgery","General Referral",26
"Feb-2017","St. Michael's Hospital","912","Gynaecology","General Referral",4
"Feb-2017","St. Michael's Hospital","912","Heart Failure Clinic","General Referral",8
"Feb-2017","St. Michael's Hospital","912","Heart Failure Virtual Clinic","General Referral",3
"Feb-2017","St. Michael's Hospital","912","Ophthalmology (Adults)","General Referral",1
"Feb-2017","St. Michael's Hospital","912","Orthopaedic (Foot & Ankle)","General Referral",1
"Feb-2017","St. Michael's Hospital","912","Orthopaedics","General Referral",1
"Feb-2017","St. Michael's Hospital","912","Stop HF Unit","General Referral",2
"Feb-2017","St. Michael's Hospital","912","Urology","General Referral",1
"Feb-2017","St. Vincent's University Hospital","910","Orthopaedic","General Referral",10
"Feb-2017","St. Vincent's University Hospital","910","Rheumatology","General Referral",3
"Feb-2017","UL Hospitals Group","9100","Endocrinology","General Referral",10
"Feb-2017","UL Hospitals Group","9100","General Medicine","General Referral",17
"Feb-2017","UL Hospitals Group","9100","Geriatric Medicine","General Referral",10
"Feb-2017","UL Hospitals Group","9100","Gynaecology","General Referral",37
"Feb-2017","UL Hospitals Group","9100","Nephrology","General Referral",11
"Feb-2017","UL Hospitals Group","9100","Ophthalmology","General Referral",5
"Feb-2017","UL Hospitals Group","9100","Orthopaedics","General Referral",82
"Feb-2017","UL Hospitals Group","9100","Respiratory Medicine","General Referral",21
"Feb-2017","UL Hospitals Group","9100","Rheumatology","General Referral",1
"Feb-2017","UL Hospitals Group","9100","Urology","General Referral",7
"Mar-2017","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",13
"Mar-2017","Cappagh National Orthopaedic Hospital","955","Rheumatology","General Referral",2
"Mar-2017","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",18
"Mar-2017","Cavan Monaghan Hospital","402","Dermatology","General Referral",28
"Mar-2017","Cavan Monaghan Hospital","402","ENT","General Referral",45
"Mar-2017","Cavan Monaghan Hospital","402","Gynaecology","General Referral",52
"Mar-2017","Cavan Monaghan Hospital","402","Haematology","General Referral",2
"Mar-2017","Cavan Monaghan Hospital","402","Neurology","General Referral",3
"Mar-2017","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",54
"Mar-2017","Cavan Monaghan Hospital","402","Paediatrics","General Referral",21
"Mar-2017","Cavan Monaghan Hospital","402","Surgical","General Referral",139
"Mar-2017","Connolly Hospital","108","Cardiology","General Referral",24
"Mar-2017","Connolly Hospital","108","Endocrinology","General Referral",8
"Mar-2017","Connolly Hospital","108","Gastroenterology","General Referral",13
"Mar-2017","Connolly Hospital","108","General Surgery","General Referral",9
"Mar-2017","Connolly Hospital","108","Haematology","General Referral",4
"Mar-2017","Connolly Hospital","108","Medicine for the Elderly","General Referral",5
"Mar-2017","Connolly Hospital","108","Orthopaedic","General Referral",18
"Mar-2017","Connolly Hospital","108","Respiratory","General Referral",2
"Mar-2017","Connolly Hospital","108","Rheumatology","General Referral",16
"Mar-2017","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",4
"Mar-2017","Mater Public Hospital","908","Colorectal Surgery","General Referral",4
"Mar-2017","Mater Public Hospital","908","Dermatology","General Referral",1
"Mar-2017","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",4
"Mar-2017","Mater Public Hospital","908","ENT Surgery","General Referral",2
"Mar-2017","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",8
"Mar-2017","Mater Public Hospital","908","Gen/Vas Surgery","General Referral",2
"Mar-2017","Mater Public Hospital","908","General Surgery","General Referral",2
"Mar-2017","Mater Public Hospital","908","Gynaecology","General Referral",3
"Mar-2017","Mater Public Hospital","908","Infectious Diseases","General Referral",4
"Mar-2017","Mater Public Hospital","908","Neurology","General Referral",9
"Mar-2017","Mater Public Hospital","908","Ophthalmology","General Referral",12
"Mar-2017","Mater Public Hospital","908","Orthopaedic","General Referral",27
"Mar-2017","Mater Public Hospital","908","Plastic Surgery","General Referral",3
"Mar-2017","Mater Public Hospital","908","Respiratory Med","General Referral",1
"Mar-2017","Mater Public Hospital","908","Rheumatology","General Referral",4
"Mar-2017","Mater Public Hospital","908","Urology","General Referral",14
"Mar-2017","Mayo University Hospital","802","Medical","General Referral",1
"Mar-2017","Midland Regional Hospital Portlaoise","201","Endocrinology","General Referral",1
"Mar-2017","Our Lady of Lourdes Hospital","922","ENT","General Referral",1
"Mar-2017","Our Lady's Children's Hospital Crumlin","941","Allergy","General Referral",16
"Mar-2017","Our Lady's Children's Hospital Crumlin","941","General Medical","General Referral",36
"Mar-2017","Sligo University Hospital","501","Diabetology","General Referral",1
"Mar-2017","Sligo University Hospital","501","Medical","General Referral",31
"Mar-2017","Sligo University Hospital","501","Paediatrics","General Referral",7
"Mar-2017","South Tipperary General Hospital","607","Cardiology","General Referral",3
"Mar-2017","South Tipperary General Hospital","607","Diabetes Mellitus","General Referral",2
"Mar-2017","South Tipperary General Hospital","607","General Medicine","General Referral",11
"Mar-2017","South Tipperary General Hospital","607","General Surgery","General Referral",41
"Mar-2017","South Tipperary General Hospital","607","Geriatric Medicine","General Referral",3
"Mar-2017","South Tipperary General Hospital","607","Gynaecology","General Referral",8
"Mar-2017","South Tipperary General Hospital","607","Obstetrics","General Referral",3
"Mar-2017","South Tipperary General Hospital","607","Paediatrics","General Referral",2
"Mar-2017","St. Michael's Hospital","912","Cardiology","General Referral",2
"Mar-2017","St. Michael's Hospital","912","Care of the Elderly","General Referral",1
"Mar-2017","St. Michael's Hospital","912","Dermatology","General Referral",4
"Mar-2017","St. Michael's Hospital","912","ENT","General Referral",23
"Mar-2017","St. Michael's Hospital","912","Gastroenterology","General Referral",28
"Mar-2017","St. Michael's Hospital","912","General Surgery","General Referral",25
"Mar-2017","St. Michael's Hospital","912","Gynaecology","General Referral",10
"Mar-2017","St. Michael's Hospital","912","Heart Failure Clinic","General Referral",5
"Mar-2017","St. Michael's Hospital","912","Heart Failure Virtual Clinic","General Referral",5
"Mar-2017","St. Michael's Hospital","912","Pelvic Floor Clinic","General Referral",1
"Mar-2017","St. Michael's Hospital","912","Respiratory","General Referral",2
"Mar-2017","St. Michael's Hospital","912","Stop HF Unit","General Referral",1
"Mar-2017","St. Michael's Hospital","912","Urology","General Referral",1
"Mar-2017","St. Vincent's University Hospital","910","Orthopaedic","General Referral",10
"Mar-2017","St. Vincent's University Hospital","910","Rheumatology","General Referral",6
"Mar-2017","UL Hospitals Group","9100","Endocrinology","General Referral",24
"Mar-2017","UL Hospitals Group","9100","General Medicine","General Referral",8
"Mar-2017","UL Hospitals Group","9100","Geriatric Medicine","General Referral",8
"Mar-2017","UL Hospitals Group","9100","Gynaecology","General Referral",71
"Mar-2017","UL Hospitals Group","9100","Nephrology","General Referral",8
"Mar-2017","UL Hospitals Group","9100","Oncology","General Referral",1
"Mar-2017","UL Hospitals Group","9100","Ophthalmology","General Referral",4
"Mar-2017","UL Hospitals Group","9100","Orthopaedics","General Referral",18
"Mar-2017","UL Hospitals Group","9100","Respiratory Medicine","General Referral",35
"Mar-2017","UL Hospitals Group","9100","Urology","General Referral",5
"Apr-2017","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",15
"Apr-2017","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",13
"Apr-2017","Cavan Monaghan Hospital","402","Dermatology","General Referral",27
"Apr-2017","Cavan Monaghan Hospital","402","ENT","General Referral",43
"Apr-2017","Cavan Monaghan Hospital","402","Gynaecology","General Referral",34
"Apr-2017","Cavan Monaghan Hospital","402","Haematology","General Referral",2
"Apr-2017","Cavan Monaghan Hospital","402","Neurology","General Referral",8
"Apr-2017","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",35
"Apr-2017","Cavan Monaghan Hospital","402","Paediatrics","General Referral",36
"Apr-2017","Cavan Monaghan Hospital","402","Surgical","General Referral",109
"Apr-2017","Connolly Hospital","108","Cardiology","General Referral",14
"Apr-2017","Connolly Hospital","108","Endocrinology","General Referral",9
"Apr-2017","Connolly Hospital","108","ENT","General Referral",2
"Apr-2017","Connolly Hospital","108","Gastroenterology","General Referral",2
"Apr-2017","Connolly Hospital","108","General Surgery","General Referral",10
"Apr-2017","Connolly Hospital","108","Haematology","General Referral",3
"Apr-2017","Connolly Hospital","108","Medicine for the Elderly","General Referral",4
"Apr-2017","Connolly Hospital","108","Orthopaedic","General Referral",20
"Apr-2017","Connolly Hospital","108","Rheumatology","General Referral",9
"Apr-2017","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",2
"Apr-2017","Mater Public Hospital","908","Colorectal Surgery","General Referral",4
"Apr-2017","Mater Public Hospital","908","Dermatology","General Referral",2
"Apr-2017","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",1
"Apr-2017","Mater Public Hospital","908","ENT Surgery","General Referral",1
"Apr-2017","Mater Public Hospital","908","Gastroenterology","General Referral",2
"Apr-2017","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",5
"Apr-2017","Mater Public Hospital","908","Gen/Vas Surgery","General Referral",2
"Apr-2017","Mater Public Hospital","908","General Surgery","General Referral",1
"Apr-2017","Mater Public Hospital","908","Gynaecology","General Referral",3
"Apr-2017","Mater Public Hospital","908","Haematology","General Referral",1
"Apr-2017","Mater Public Hospital","908","Infectious Diseases","General Referral",1
"Apr-2017","Mater Public Hospital","908","Neurology","General Referral",12
"Apr-2017","Mater Public Hospital","908","Ophthalmology","General Referral",10
"Apr-2017","Mater Public Hospital","908","Orthopaedic","General Referral",24
"Apr-2017","Mater Public Hospital","908","Plastic Surgery","General Referral",1
"Apr-2017","Mater Public Hospital","908","Rheumatology","General Referral",4
"Apr-2017","Mater Public Hospital","908","Urology","General Referral",6
"Apr-2017","Midland Regional Hospital Portlaoise","201","Medical","General Referral",1
"Apr-2017","Our Lady of Lourdes Hospital","922","Cardiology","General Referral",12
"Apr-2017","Our Lady of Lourdes Hospital","922","General Surgery","General Referral",3
"Apr-2017","Our Lady of Lourdes Hospital","922","Gynaecology","General Referral",1
"Apr-2017","Our Lady's Children's Hospital Crumlin","941","Allergy","General Referral",9
"Apr-2017","Our Lady's Children's Hospital Crumlin","941","General Medical","General Referral",32
"Apr-2017","Royal Victoria Eye and Ear Hospital","950","ENT","General Referral",1
"Apr-2017","Royal Victoria Eye and Ear Hospital","950","Ophthalmology","Ophthalmology Referral",1
"Apr-2017","Sligo University Hospital","501","Medical","General Referral",25
"Apr-2017","Sligo University Hospital","501","Paediatrics","General Referral",10
"Apr-2017","South Tipperary General Hospital","607","Cardiology","General Referral",2
"Apr-2017","South Tipperary General Hospital","607","General Medicine","General Referral",11
"Apr-2017","South Tipperary General Hospital","607","General Surgery","General Referral",50
"Apr-2017","South Tipperary General Hospital","607","Gynaecology","General Referral",14
"Apr-2017","South Tipperary General Hospital","607","Obstetrics","General Referral",2
"Apr-2017","South Tipperary General Hospital","607","Paediatrics","General Referral",4
"Apr-2017","St. Michael's Hospital","912","Cardiology","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Dermatology","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Endocrinology/Metabolism","General Referral",1
"Apr-2017","St. Michael's Hospital","912","ENT","General Referral",8
"Apr-2017","St. Michael's Hospital","912","Gastroenterology","General Referral",19
"Apr-2017","St. Michael's Hospital","912","General Surgery","General Referral",14
"Apr-2017","St. Michael's Hospital","912","Gynaecology","General Referral",6
"Apr-2017","St. Michael's Hospital","912","Heart Failure Clinic","General Referral",3
"Apr-2017","St. Michael's Hospital","912","Heart Failure Virtual Clinic","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Ophthalmology (Adults)","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Orthopaedic (Foot & Ankle)","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Stop HF Unit","General Referral",1
"Apr-2017","St. Michael's Hospital","912","Urology","General Referral",1
"Apr-2017","St. Vincent's University Hospital","910","Orthopaedic","General Referral",11
"Apr-2017","St. Vincent's University Hospital","910","Rheumatology","General Referral",5
"Apr-2017","UL Hospitals Group","9100","Endocrinology","General Referral",35
"Apr-2017","UL Hospitals Group","9100","General Medicine","General Referral",13
"Apr-2017","UL Hospitals Group","9100","Geriatric Medicine","General Referral",9
"Apr-2017","UL Hospitals Group","9100","Gynaecology","General Referral",57
"Apr-2017","UL Hospitals Group","9100","Nephrology","General Referral",8
"Apr-2017","UL Hospitals Group","9100","Ophthalmology","General Referral",1
"Apr-2017","UL Hospitals Group","9100","Orthopaedics","General Referral",14
"Apr-2017","UL Hospitals Group","9100","Respiratory Medicine","General Referral",24
"Apr-2017","UL Hospitals Group","9100","Rheumatology","General Referral",2
"Apr-2017","UL Hospitals Group","9100","Urology","General Referral",2
"May-2017","Beaumont Hospital","923","Anaesthetics","General Referral",1
"May-2017","Cappagh National Orthopaedic Hospital","955","Orthopaedics","General Referral",33
"May-2017","Cappagh National Orthopaedic Hospital","955","Rheumatology","General Referral",3
"May-2017","Cavan Monaghan Hospital","402","Ante-Natal","General Referral",13
"May-2017","Cavan Monaghan Hospital","402","Dermatology","General Referral",33
"May-2017","Cavan Monaghan Hospital","402","ENT","General Referral",39
"May-2017","Cavan Monaghan Hospital","402","Gynaecology","General Referral",31
"May-2017","Cavan Monaghan Hospital","402","Haematology","General Referral",3
"May-2017","Cavan Monaghan Hospital","402","Medical","General Referral",2
"May-2017","Cavan Monaghan Hospital","402","Neurology","General Referral",3
"May-2017","Cavan Monaghan Hospital","402","Orthopaedics","General Referral",32
"May-2017","Cavan Monaghan Hospital","402","Paediatrics","General Referral",31
"May-2017","Cavan Monaghan Hospital","402","Surgical","General Referral",133
"May-2017","Connolly Hospital","108","Cardiology","General Referral",16
"May-2017","Connolly Hospital","108","Dermatology","General Referral",1
"May-2017","Connolly Hospital","108","Endocrinology","General Referral",7
"May-2017","Connolly Hospital","108","ENT","General Referral",4
"May-2017","Connolly Hospital","108","Gastroenterology","General Referral",8
"May-2017","Connolly Hospital","108","General Surgery","General Referral",7
"May-2017","Connolly Hospital","108","Haematology","General Referral",3
"May-2017","Connolly Hospital","108","Medicine for the Elderly","General Referral",6
"May-2017","Connolly Hospital","108","Nephrology","General Referral",1
"May-2017","Connolly Hospital","108","Ophthalmology","General Referral",1
"May-2017","Connolly Hospital","108","Orthopaedic","General Referral",17
"May-2017","Connolly Hospital","108","Plastic Surgery","General Referral",1
"May-2017","Connolly Hospital","108","Respiratory","General Referral",20
"May-2017","Connolly Hospital","108","Rheumatology","General Referral",21
"May-2017","Louth County Hospital","400","Endocrinology","General Referral",2
"May-2017","Louth County Hospital","400","General Medicine","General Referral",1
"May-2017","Mater Public Hospital","908","Cardiac/Thoracic Surgery","General Referral",4
"May-2017","Mater Public Hospital","908","Colorectal Surgery","General Referral",1
"May-2017","Mater Public Hospital","908","Dermatology","General Referral",2
"May-2017","Mater Public Hospital","908","Diabetic/Endocrinology","General Referral",1
"May-2017","Mater Public Hospital","908","ENT Surgery","General Referral",5
"May-2017","Mater Public Hospital","908","Gen Med/Cardiology","General Referral",5
"May-2017","Mater Public Hospital","908","General Surgery","General Referral",1
"May-2017","Mater Public Hospital","908","Geriatrics","General Referral",1
"May-2017","Mater Public Hospital","908","Gynaecology","General Referral",6
"May-2017","Mater Public Hospital","908","Haematology","General Referral",1
"May-2017","Mater Public Hospital","908","Hepatology","General Referral",1
"May-2017","Mater Public Hospital","908","Infectious Diseases","General Referral",7
"May-2017","Mater Public Hospital","908","Neurology","General Referral",13
"May-2017","Mater Public Hospital","908","Oncology","General Referral",1
"May-2017","Mater Public Hospital","908","Ophthalmology","General Referral",8
"May-2017","Mater Public Hospital","908","Orthopaedic","General Referral",34
"May-2017","Mater Public Hospital","908","Psychiatry","General Referral",1
"May-2017","Mater Public Hospital","908","Respiratory Med","General Referral",1
"May-2017","Mater Public Hospital","908","Rheumatology","General Referral",3
"May-2017","Mater Public Hospital","908","Urology","General Referral",10
"May-2017","Mayo University Hospital","802","Medical","General Referral",1
"May-2017","Midland Regional Hospital Portlaoise","201","Endocrinology","General Referral",1
"May-2017","Midland Regional Hospital Portlaoise","201","Ophthalmology","General Referral",1
"May-2017","Midland Regional Hospital Portlaoise","201","Surgical","General Referral",1
"May-2017","Midland Regional Hospital Portlaoise","201","Urology","General Referral",1
"May-2017","Our Lady of Lourdes Hospital","922","Cardiology","General Referral",24
"May-2017","Our Lady of Lourdes Hospital","922","Endocrinology","General Referral",2
"May-2017","Our Lady of Lourdes Hospital","922","ENT","General Referral",2
"May-2017","Our Lady of Lourdes Hospital","922","Gastroenterology","General Referral",3
"May-2017","Our Lady of Lourdes Hospital","922","General Surgery","General Referral",1
"May-2017","Our Lady of Lourdes Hospital","922","Gynaecology","General Referral",21
"May-2017","Our Lady of Lourdes Hospital","922","Paediatrics","General Referral",10
"May-2017","Our Lady's Children's Hospital Crumlin","941","Allergy","General Referral",7
"May-2017","Our Lady's Children's Hospital Crumlin","941","General Medical","General Referral",26
"May-2017","Royal Victoria Eye and Ear Hospital","950","ENT","General Referral",3
"May-2017","Sligo University Hospital","501","Medical","General Referral",34
"May-2017","Sligo University Hospital","501","Paediatrics","General Referral",9
"May-2017","South Tipperary General Hospital","607","Cardiology","General Referral",2
"May-2017","South Tipperary General Hospital","607","Diabetes Mellitus","General Referral",1
"May-2017","South Tipperary General Hospital","607","General Medicine","General Referral",12
"May-2017","South Tipperary General Hospital","607","General Surgery","General Referral",53
"May-2017","South Tipperary General Hospital","607","Geriatric Medicine","General Referral",1
"May-2017","South Tipperary General Hospital","607","Gynaecology","General Referral",16
"May-2017","South Tipperary General Hospital","607","Obstetrics","General Referral",9
"May-2017","South Tipperary General Hospital","607","Paediatrics","General Referral",4
"May-2017","St. James's Hospital","904","Cardiology","General Referral",1
"May-2017","St. James's Hospital","904","Hepatology","General Referral",1
"May-2017","St. Michael's Hospital","912","Care of the Elderly","General Referral",1
"May-2017","St. Michael's Hospital","912","Dermatology","General Referral",2
"May-2017","St. Michael's Hospital","912","Endocrinology/Metabolism","General Referral",1
"May-2017","St. Michael's Hospital","912","ENT","General Referral",19
"May-2017","St. Michael's Hospital","912","Gastroenterology","General Referral",28
"May-2017","St. Michael's Hospital","912","General Surgery","General Referral",26
"May-2017","St. Michael's Hospital","912","Gynaecology","General Referral",8
"May-2017","St. Michael's Hospital","912","Heart Failure Clinic","General Referral",6
"May-2017","St. Michael's Hospital","912","Heart Failure Virtual Clinic","General Referral",4
"May-2017","St. Michael's Hospital","912","Orthopaedics","General Referral",2
"May-2017","St. Michael's Hospital","912","Pelvic Floor Clinic","General Referral",1
